,feature,val,precision,recall,fbeta
36,occupation,Sales,0.788235294117647,0.6979166666666666,0.7403314917127071
37,occupation,Handlers-cleaners,0.6666666666666666,0.3333333333333333,0.4444444444444444
38,occupation,Other-service,0.875,0.2692307692307692,0.411764705882353
39,occupation,Protective-serv,0.7058823529411765,0.5714285714285714,0.6315789473684211
40,occupation,Priv-house-serv,1.0,1.0,1.0
41,occupation,Transport-moving,0.8275862068965517,0.375,0.5161290322580646
42,occupation,?,0.7777777777777778,0.5,0.6086956521739131
43,occupation,Farming-fishing,0.8333333333333334,0.17857142857142858,0.29411764705882354
44,occupation,Tech-support,0.851063829787234,0.7843137254901961,0.8163265306122448
45,occupation,Armed-Forces,1.0,1.0,1.0
46,relationship,Not-in-family,0.9021739130434783,0.44148936170212766,0.5928571428571429
47,relationship,Wife,0.7637795275590551,0.6783216783216783,0.7185185185185186
48,relationship,Husband,0.7913125590179415,0.7162393162393162,0.7519066846119337
49,relationship,Unmarried,0.9,0.4,0.5538461538461539
50,relationship,Own-child,0.6,0.17647058823529413,0.2727272727272727
51,relationship,Other-relative,1.0,0.75,0.8571428571428571
52,race,White,0.7996632996632996,0.665266106442577,0.7262996941896025
53,race,Black,0.78,0.6,0.6782608695652174
54,race,Other,0.8,0.6666666666666666,0.7272727272727272
55,race,Asian-Pac-Islander,0.7796610169491526,0.7419354838709677,0.7603305785123968
56,race,Amer-Indian-Eskimo,0.8571428571428571,0.6,0.7058823529411764
57,sex,Female,0.7839506172839507,0.5450643776824035,0.6430379746835443
58,sex,Male,0.8003487358326068,0.6860986547085202,0.7388329979879276
59,native-country,United-States,0.7986463620981388,0.6578397212543554,0.7214367596484524
60,native-country,Mexico,1.0,0.3333333333333333,0.5
61,native-country,Puerto-Rico,0.8333333333333334,0.8333333333333334,0.8333333333333334
62,native-country,El-Salvador,1.0,1.0,1.0
63,native-country,?,0.8076923076923077,0.6774193548387096,0.7368421052631579
64,native-country,Columbia,1.0,1.0,1.0
65,native-country,Poland,0.6666666666666666,1.0,0.8
66,native-country,Cambodia,1.0,1.0,1.0
67,native-country,Germany,0.8333333333333334,0.7692307692307693,0.8
68,native-country,Philippines,1.0,0.625,0.7692307692307693
69,native-country,Canada,0.875,0.875,0.875
70,native-country,Ecuador,1.0,0.5,0.6666666666666666
71,native-country,Italy,0.8,1.0,0.888888888888889
72,native-country,Cuba,1.0,0.8,0.888888888888889
73,native-country,Iran,0.6,0.6,0.6
74,native-country,Jamaica,0.0,1.0,0.0
75,native-country,Haiti,1.0,1.0,1.0
76,native-country,South,0.25,0.5,0.3333333333333333
77,native-country,Taiwan,0.8,1.0,0.888888888888889
78,native-country,Dominican-Republic,1.0,1.0,1.0
79,native-country,Ireland,1.0,1.0,1.0
80,native-country,Japan,0.6,0.75,0.6666666666666665
81,native-country,Scotland,1.0,1.0,1.0
82,native-country,India,0.875,0.875,0.875
83,native-country,Trinadad&Tobago,1.0,1.0,1.0
84,native-country,Hungary,1.0,0.5,0.6666666666666666
85,native-country,England,0.75,0.75,0.75
86,native-country,Laos,1.0,0.0,0.0
87,native-country,Hong,0.5,1.0,0.6666666666666666
88,native-country,Greece,1.0,0.5,0.6666666666666666
89,native-country,Portugal,1.0,1.0,1.0
90,native-country,Guatemala,1.0,1.0,1.0
91,native-country,China,0.8888888888888888,1.0,0.9411764705882353
92,native-country,France,1.0,1.0,1.0
93,native-country,Nicaragua,1.0,1.0,1.0
94,native-country,Vietnam,1.0,1.0,1.0
95,native-country,Thailand,0.0,1.0,0.0
96,native-country,Peru,1.0,0.0,0.0
97,native-country,Honduras,1.0,1.0,1.0
98,native-country,Yugoslavia,1.0,1.0,1.0
